Topic,Documents
0,Education: athletics; requirement that only biological males may compete for a position on and compete on a boys' high school team in an interscholastic activity and only biological females may compete for a position on and compete on a girls' high school team in an interscholastic activity; provide for. Amends 1979 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1146a & repeals sec. 1289 of 1976 PA 451 (MCL 380.1289).
-1,"An Act To Create The ""mississippi Intercollegiate Athletics Compensation Rights Act""; To Define Terminology; To Provide That A Student-athlete May Earn Compensation For The Use Of His Or Her Name, Image Or Likeness While Enrolled In A Postsecondary Institution And Obtain A Certified Agent For Matters Relating To That Compensation; To Prohibit Student-athletes From Earning Compensation In Exchange For His Or Her Ability Or Participation In Intercollegiate Athletics Or Sports Competitions; To Provide That A Student-athlete Shall Not Be Deemed An Employee Or Independent Contractor Of Any Athletic Organizational Entity Based On His Or Her Participation In An Intercollegiate Athletic Program; To Prohibit Postsecondary Educational Institutions From Upholding Requirements That Restrict A Student-athletes Ability To Receive Compensation For The Student's Name, Image Or Likeness; To Prohibit Athletic Organizational Entities From Interfering With A Contract Or Other Requirements That Prevent A Student-athlete From Receiving Compensation For His Or Her Name, Image Or Likeness Or Prevent A Postsecondary Educational Institution From Participating In An Intercollegiate Athletic Program As A Result Of The Student-athlete Receiving Compensation For His Or Her Name, Image Or Likeness; To Allow Postsecondary Educational Institutions To Impose Reasonable Limitations On The Times A Student-athlete May Participate In Certain Promotional Activities Related To The License Or Use Of The Student's Name, Image Or Likeness; To Prohibit Postsecondary Educational Institutions From Preventing Student-athletes From Obtaining Professional Representation; To Require Persons Obtained By Student-athletes As Professional Representatives To Be Registered As Athlete Agents And Attorneys Who Provide Legal Representation To Be Licensed By The Mississippi Bar Association; To Require Student-athletes To Disclose Contracts For Compensation To The Postsecondary Educational Institution Of Enrollment The Earlier Of Three Days Of Its Execution Or Three Days Of The Next Competition; To Provide That No Male"
-1,Relating to separation of students based on gender for athletics teams sponsored or authorized by a public school.
1,"Amend The Code Of Laws Of South Carolina, 1976, To Enact The ""south Carolina Vulnerable Child Compassion And Protection Act"" By Adding Chapter 139 To Title 44 So As To Prohibit The Performance Of A Medical Procedure Or The Prescription Or Issuance Of Medication, Upon Or To A Minor, That Is Intended To Alter The Appearance Of The Minor's Gender Or Delay Puberty, With Exceptions; To Create Criminal Penalties; And For Other Purposes."
-1,To Protect The Welfare Of Children By Keeping This Promise To Arkansas’s Children.
2,Promote continued fairness in women's sports.
0,Preserving Sports for Female Students
1,Medical Practice Amendments
-1,Require anyone participating in high school or middle school sports to play per their biological birth gender
1,"Vulnerable Child Compassion and Protection Act, prohibits gender change therapy for minors, prohibits withholding of certain related information from parents"
2,Student athletics; creating the Save Women's Sports Act; requiring certain athletic teams to be designated based on biological sex. Effective date. Emergency.
-1,"A BILL to be entitled an Act to amend Title 20 of the Official Code of Georgia Annotated, relating to education, so as to provide that it shall be unlawful for a public school or a private school whose students or teams compete against a public school to operate, sponsor, or facilitate athletic programs or activities that permit a person whose gender is male to participate in an athletic program or activity that is designated for females; to provide for definitions; to provide for remedies for violations; to provide for exceptions; to waive certain immunities; to provide for a short title; to provide for related matters; to repeal conflicting laws; and for other purposes."
0,"Male student participation in female athletics restricted, male access to female changing facilities restricted, and criminal penalties provided."
-1,Require all athletes to perform in sport of the sex they were born
0,Relating to participation in athletic events exclusively for males and females
0,Prohibits state funding of any elementary or secondary school or any institution of higher education that allows biological males to participate in sports organized for biological females
2,Women's Sports Protection Act
0,Requiring participation in athletic or sporting events be based on athlete's biological gender
-1,Protects certain students whose grade average is adversely affected by COVID-19
5,"Amend KRS 156.070 to designate the NAIA and NJCAA as organizations the Kentucky Board of Educaion must consider in establishing athletic programs, require the Board of Education or agency designated by the Board of Education to manage interscholastic athletics to promulgate administrative regulations or bylaws requiring schools that participate in interscholastic athletics to designate all athletic teams, activities, and sports based upon the biological sex of the students eligible to participate; prohibit male students from participating in athletic teams, activities, and sports designated as girls'; prohibit designated agencies from entertaining complaints or investigations of policies; create a cause of action against a school that violates these provisions; require that the action be brought within 2 years; create a new section of KRS Chapter 164 to require a postsecondary education institution to designate all intercollegiate and intramural athletic teams, activities, sports, and events that are sponsored or authorized by the institution based on biological sex of students eligible to participate; require that a postsecondary education institution prohibit male students from participating in athletic teams, activities, and sports designated as womens'; prohibit designated agencies from entertaining complaints or investigations of policies; create a cause of action against a postsecondary institution that violates these provisions; require that the action be brought within 2 years; title the Act: ""Save Women’s Sports Act."""
-1,"A BILL to be entitled an Act to amend Title 31 of the Official Code of Georgia Annotated, relating to health, so as to prohibit certain licensed, certified, or registered professionals from engaging in certain acts upon minors; to provide for a short title; to provide for definitions; to provide for exceptions; to provide for a penalty and private cause of action; to explicitly waive sovereign immunity, qualified immunity, and official immunity for such a private cause of action; to provide for related matters; to provide for an effective date and applicability; to repeal conflicting laws; and for other purposes."
1,Making it a crime for a physician to perform gender reassignment surgery or hormone replacement therapy on certain children.
1,Amend KRS 214.185 to prohibit administering transgender healthcare services on a minor patient without the written consent of the parent or guardian.
1,"The purpose of this bill, The Vulnerable Child Protection Act, is to prohibit certain medical treatments and procedures upon a minor, including an emancipated minor, for the purpose of attempting to change or affirm the minor's perception of the minor's sex, if that perception is inconsistent with the minor's genetic sex at birth and making such medical treatments and procedures a felony unless specific exceptions."
0,Relating to participation in school sports
-1,"A BILL to be entitled an Act to amend Part 14 of Article 6 of Title 20 of the Official Code of Georgia Annotated, relating to other educational programs, so as to provide a definition for the term ""gender""; to provide for the classification of athletic events or activities based on gender; to provide for a waiver process; to provide for remedies; to provide for related matters; to repeal conflicting laws; and for other purposes."
4,"Enact The ""save Women's Sports Act""; To Amend Article 5, Chapter 1, Title 59 Of The 1976 Code, Relating To Miscellaneous Educational Provisions, By Adding Section 59-1-500, To Provide That Public And Private Middle School-level And High School-level Teams And Sports Must Be Designated Based On Biological Sex, To Provide That Teams Or Sports Designated For Females Must Be Restricted To Students Of The Female Sex, To Provide Certain Protections For Public And Private Schools, And To Provide Certain Relief For Violations."
6,A bill for an act relating to unfair practices involving access to areas of public accommodations designated for persons of one biological sex.
0,Establishes guidelines for public school student participation in athletic contests organized by sex
-1,"A BILL to be entitled an Act to amend Title 20 of the Official Code of Georgia Annotated, relating to education, so as to provide that it shall be unlawful for a public school, an institution of the University System of Georgia, or a private school whose students or teams compete against a public school to operate, sponsor, or facilitate athletic programs or activities that permit a person whose gender is male to participate in an athletic program or activity that is designated for females; to provide for a definition; to provide for remedies for violations; to waive certain immunities; to provide for related matters; to repeal conflicting laws; and for other purposes."
1,Making it a crime for a doctor to perform gender reassignment surgery or hormone replacement therapy on minors.
0,Proposes a constitutional amendment to protect the integrity of interscholastic athletic contests
1,Sex education; child abuse prevention
3,A bill for an act relating to student participation in interscholastic or intramural athletic teams or sports based on biological sex.
1,Create a new section of KRS Chapter 438 to prohibit medical professionals from performing surgeries or prescribing medications to a minor with the intent to alter the sex the child was assigned at birth and create a civil cause of action for violations; create a new section of KRS Chapter 405 regarding parental rights in the area of gender identity or gender dysphoria; create a new section of KRS Chapter 61 to create employee protections for public employees who express opinions regarding gender identity or gender dysphoria.
1,"An Act To Create The Transgender 21 Act; To Prohibit The State, Its Agents, And Political Subdivision From Infringing On A Parent's Right To Withhold Consent For Any Treatment, Activity Or Mental Healthcare Services That Are Designed And Intended To Form Their Child's Conceptions Of Sex And Gender Or To Treat Gender Dysphoria Or Gender Nonconformity; To Prohibit Certain Medical Procedures From Being Performed Upon A Minor; To Provide A Penalty For Any Medical Profession Who Performs Certain Medical Procedures Upon A Minor; To Provide A Good-faith Exception For A Minor Born With A Medically Verifiable Genetic Disorder Of Sexual Development; To Prohibit Any State Agency, Political Subdivision Or Licensing Organization From Forbidding, Penalizing Or Taking Adverse Action Against An Individual Who Gives Or Receives Counsel, Advice, Guidance Or Other Speech Or Communication Consistent With Conscience Or Religious Belief; To Provide That No Individual Shall Be Discriminated Against For Providing Information About A Violation Of This Act To Certain Authorities; To Provide A Private Cause Of Action For Violations Of This Act; To Preempt Political Subdivisions From Promulgating Rules Or Regulations That Limits The Professional Conduct And Judgment Of A Mental Healthcare Professional Or Counselor; To Provide That The Provisions Of This Act Are Severable; And For Related Purposes."
2,Student athletics; creating the Save Women's Sports Act; requiring designation of certain athletic teams. Effective date. Emergency.
2,"To protect women's rights in intercollegiate, interscholastic and intramural athletic events by allowing only biological females to be on public female-only athletic teams."
0,Student participation in athletic teams restricted.
0,Female student sport team participation restricted to the female sex.
0,Prohibits biologically born males from competing in any athletic program offered by a public high school that is designated for women or girls.
-1,Require that birth certificates reflect biological sex.
1,"Relating to professional liability insurance coverage for and prohibitions on the provision to certain children of procedures and treatments for gender transitioning, gender reassignment, or gender dysphoria."
0,To provide civil immunity for interscholastic athletic organizations and the sanctioning bodies of private youth organizations when such entities adopt policies that require an athletic participant to compete on a team that matches the gender identity on his or her birth certificate.
1,Minors transitioning to the opposite sex. Prohibits specified health care professionals from: (1) performing certain medical procedures on a minor; or (2) subjecting a minor to certain activities; with the intent of assisting the minor to physically transition to a gender that is inconsistent with the minor's biological sex.
0,High school league member public schools separate teams provision violation clarification
1,"Prohibited services relating to care of minors. Prohibits specified health care professionals from: (1) performing certain medical procedures on a minor; or (2) subjecting a minor to certain activities; that purposely attempt to change, reinforce, or affirm a minor's perception of the minor's own sexual attraction or sexual behavior, or attempt to change, reinforce, or affirm a minor's gender identity when the identity is inconsistent with the minor's biological sex."
0,Relative to an exception to the opportunity for public education without discrimination.
0,"Amends the School Code. Provides that, for interscholastic athletic programs or comparable programs supported from school district funds, a student's sex shall be the student's biological gender assigned at birth. Provides that, in determining a student's biological gender, a statement of a student's biological sex on the student's official birth certificate is considered to have correctly stated the student's biological sex at birth if the statement was filed at or near the time of the student's birth. Amends the Board of Higher Education Act. Provides that interscholastic athletic teams or sports that are operated by a public university must be expressly designated based on the biological sex at birth of team members. Provides that a statement of a student's biological sex on the student's official birth certificate is considered to have correctly stated the student's biological sex at birth if the statement was filed at or near the time of the student's birth. Provides that an athletic team or sport designated for females, women, or girls may not be open to students of the male sex. Provides that an athletic team or sport designated for males, men, or boys may be open to students of the female sex. Amends the Public Community College Act. Makes similar changes."
1,Creates provisions relating to the protection of children
6,"Prohibits certain actions by elementary and secondary schools. Specifically, the bill prohibits schools from compelling a teacher or student to adopt, affirm, adhere to, or profess racial discrimination theory or any idea in violation of Title IV or Title VI of the Civil Rights Act of 1964; compelling a student to observe or espouse obscene or sexual materials without parental consent; instructing or requiring an employee to refer to a student using a pronoun not associated with the biological sex of the student without parental consent; acting as the agent of a parent for purposes of providing verifiable parental consent or receiving a notice or other information required to be provided to a parent; or neglecting to report sexual assault or sexual harassment on school property to the appropriate law enforcement authorities. A parent aggrieved by conduct prohibited under the bill may commerce a civil action against the school."
0,"This Act generally requires a student athlete to compete for athletic teams or in sports associated with their biological sex, as determined at or near birth and based on the students birth certificate or other government record if a birth certificate is unobtainable. An exception is permitted to allow female athletes to compete in male sports if a corresponding female sport is not available."
3,"An Act providing for sport activities in public institutions of higher education and public school entities to be expressly designated male, female or coed; and creating causes of action for harm suffered by designation."
2,Provides for the Fairness in Womens Sports Act relative to a school's ability to offer equal opportunities to each student to participate in team sporting events on an equal basis. (8/1/22) (EN SEE FISC NOTE GF EX See Note)
