Topic,Documents
0,"Family and juvenile law matters. Requires the office of the secretary of family and social services to apply, before July 1, 2022, to the United States Department of Health and Human Services for an amendment to the family and support services Medicaid waiver to create priority status on the waiver for a child who has been adopted. Requires the statewide child fatality review coordinator to provide a data collection form to each local child fatality review team. Provides that the data collection form must mirror the information in the National Fatality Review Case Reporting System Version 5.0 CDR Report Form. Provides that the definition of child abuse or neglect does not refer to a person who identifies a child by the child's biological sex. Requires the department of child services (department) to include in its annual report certain additional information concerning child fatalities. Requires the department to: (1) collect certain disability identification data; (2) create a report concerning the collected data; (3) provide the report to the legislative council; and (4) adopt rules to implement these provisions. Requires the department, before beginning a trial home visit, to conduct a criminal history check on certain individuals, determine whether any of those individuals have prior department history, and establish a safety plan and child care plan. Requires the department to conduct at least one unannounced home visit each week while a child is on a trial home visit. Makes an appropriation to the state department of health to fund additional staff to support local child fatality review teams. Makes conforming changes."
1,Concerning Free Speech Rights At State-supported Institutions Of Higher Education.
0,Discrimination; enacting the Women's Bill of Rights; effective date.
1,Public monies; ideology training; prohibition
0,Sexually explicit performances; regulation
0,Health and Human Services Recodification - Health Care Assistance and Data
0,"An Amendment To Article Xvii Of The Constitution Of South Carolina, By Adding Section 16 To Provide That A Person's Biological Sex At Birth Constitutes That Person's Gender For The Purposes Of The State Constitution And Laws."
0,To secure the dignity and safety of incarcerated women.
0,A bill to secure the dignity and safety of incarcerated women.
0,Discrimination; creating the Women's Bill of Rights; authorizing distinctions for certain purposes. Effective date.
0,Relating to the construction of abortion statutes in relation to pregnant biological females who do not identify as a woman or female.
0,Relating to general definitions for and collection of governmental information regarding biological sex.
0,Relating to certain general definitions in the Code Construction Act.
0,Relating to the detainment and housing of juveniles based on biological sex.
0,Relating to the detainment and housing of juveniles and inmates based on biological sex.
1,Modifies provisions relating to the fiduciary duty and proxy voting activities of public retirement systems
0,To Add Certain Restrictions To An Adult-oriented Performance; And To Define An Adult-oriented Performance.
0,Relating to the confinement of inmates according to biological sex.
1,"AN ACT relating to the administration of government; specifying requirements for the hiring and retention of investment managers, trustees and fiduciaries who invest state funds as specified; specifying proxy voting requirements for investment managers, trustees and fiduciaries who invest state funds; providing definitions; making conforming amendments; specifying applicability; and providing for an effective date."
0,Students with disabilities; diaper changes
0,"A BILL for an Act to amend and reenact section 1-01-49 and subsection 7 of section 51-35-01 of the North Dakota Century Code, relating to the definition of female, male, sex, and scrap metal dealer."
0,To provide requirements related to the eligibility of individuals who identify as transgender from serving in the Armed Forces.
0,To provide requirements related to the eligibility of transgender individuals from serving in the Armed Forces.
0,A bill to provide requirements related to the eligibility of individuals who identify as transgender from serving in the Armed Forces.
1,"Enacting the Kansas protection of pensions and businesses against ideological interference act, relating to ideological boycotts involving environmental, social or governance standards, requiring KPERS to divest from and prohibiting state contracts or the deposit of state moneys with entities engaged in such boycotts as determined by the state treasurer and prohibiting discriminatory practices in the financial services industry based on such boycotts."
0,Establishing a Women's Bill of Rights to reaffirm legal protections afforded to women under Federal law.
0,A resolution establishing a Women's Bill of Rights to reaffirm legal protections afforded to women under Federal law.
1,"Concerning limitations on the use of state money, and, in connection therewith, requiring the public employees' retirement association to make investments solely on financial factors, prohibiting certain government contracts with entities that engage in economic boycotts, and requiring the state treasurer to invest money eligible for investment solely on financial factors."
1,Public retirement systems; creating the Oklahoma Pension Fiduciary Duty Act. Effective date.
0,Abortion; adding and modifying definitions of abortion. Effective date.
0,"Preventing pregnancy in prison. Provides that the department of correction shall assign an offender, including a delinquent offender, to a facility or program that is based on the offender's biological sex at birth in accordance with the offender's genetics and reproductive biology."
1,"A bill for an act relating to public contracts, public fund investing, and lending practices with certain companies that engage in economic boycotts based on environmental, social, or governance criteria, and including effective date and applicability provisions.(See HF 653.)"
0,Concerning housing of inmates in state correctional facilities.
0,"A BILL for an Act to amend and reenact section 1-01-34 of the North Dakota Century Code, relating to gender usage in the North Dakota Century Code; and to provide a penalty."
0,Relative to state recognition of biological sex.
0,Modifies provisions relating to statutes of limitations
1,Crates new provisions relating to public contracts
1,Prohibits public entities from entering into certain contracts
