Topic,Documents
0,"Requires district school boards to adopt procedures that comport with certain provisions of law for notifying student's parent of specified information; requires such procedures to reinforce fundamental right of parents to make decisions regarding upbringing & control of their children; prohibits school district from adopting procedures or student support forms that prohibit school district personnel from notifying parent about specified information or that encourage student to withhold from parent such information; prohibits school district personnel from discouraging or prohibiting parental notification & involvement in critical decisions affecting student's mental, emotional, or physical well-being; prohibits classroom discussion about sexual orientation or gender identity in certain grade levels; requires school districts to notify parents of healthcare services; authorizes parent to bring action against school district to obtain declaratory judgment; provides for additional award of injunctive relief, damages, & reasonable attorney fees & court costs to certain parents."
-1,An Act to amend 448.02 (3) (a); and to create 146.36 and 632.8983 of the statutes; Relating to: gender transition procedures.
3,Provides criminal penalties for health care practitioners who engage in or cause specified practices to be performed on minor under certain conditions.
12,Medical Practice Amendments
4,Prohibits certain procedures to alter the sex of a minor child
-1,Creates provisions relating to gender transition procedures
8,Oklahoma Save Adolescents from Experimentation (SAFE) Act; effective date.
23,"As introduced, enacts the “Youth Health Protection Act.” - Amends TCA Title 8; Title 9; Title 14; Title 33; Title 63 and Title 68."
21,"An Act To Create The Transgender 21 Act; To Prohibit The State, Its Agents, And Political Subdivision From Infringing On A Parent's Right To Withhold Consent For Any Treatment, Activity Or Mental Health Care Services That Are Designed And Intended To Form Their Child's Conceptions Of Sex And Gender Or To Treat Gender Dysphoria Or Gender Nonconformity; To Prohibit Certain Medical Procedures From Being Performed Upon A Minor; To Provide A Penalty For Any Medical Profession Who Performs Certain Medical Procedures Upon A Minor; To Provide A Good-faith Exception For A Minor Born With A Medically Verifiable Genetic Disorder Of Sexual Development; To Prohibit Any State Agency, Political Subdivision Or Licensing Organization From Forbidding, Penalizing Or Taking Adverse Action Against An Individual Who Gives Or Receives Counsel, Advice, Guidance Or Other Speech Or Communication Consistent With Conscience Or Religious Belief; To Provide That No Individual Shall Be Discriminated Against For Providing Information About A Violation Of This Act To Certain Authorities; To Provide A Private Cause Of Action For Violations Of This Act; To Preempt Political Subdivisions From Promulgating Rules Or Regulations That Limits The Professional Conduct And Judgment Of A Mental Health Care Professional Or Counselor; To Provide That The Provisions Of This Act Are Severable; And For Related Purposes."
6,"An Act To Amend Section 43-21-105, Mississippi Code Of 1972, To Revise The Definition Of Child Abuse To Include Gender Reassignment; And For Related Purposes."
6,An Act To Enact The Mississippi Save Adolescents From Experimentation (safe) Act; To Provide For The Legislative Findings Related To The Safe Act; To Define Certain Terms Used In The Act; To Provide That A Physician Or Other Health Care Professional Shall Not Provide Gender Transition Procedures To Any Individual Under 18 Years Of Age; To Provide That A Physician Or Other Health Care Professional Shall Not Refer Any Individual Under 18 Years Of Age To Any Health Care Professional For Gender Transition Procedures; To Allow For Certain Exceptions To The Prohibition That Physicians Cannot Provide Such Services; To Provide That Public Funds Shall Not Be Distributed To Any Entity Or Individual That Provides Gender Transition Procedures To An Individual Under 18 Years Of Age; To Provide For Enforcement Of The Act; To Prohibit A Health Benefit Plan Under An Insurance Plan From Providing Insurance Coverage Of Gender Transition Procedures For Minors; And For Related Purposes.
18,Gender transition; prohibition
4,"Public health, medical procedures for minors intended to alter appearance of gender prohibited, exceptions provided, criminal penalties provided"
-1,Vulnerable Child Protection Act
13,Child; vulnerable adult; abuse
20,"Create new sections of KRS Chapter 311 to prohibit the provision of or referral for gender transition procedures to any child under the age of 18 years; define a violation as unprofessional conduct and acting recklessly for purposes of tort claims; permit an action on a violation to be taken by the parent or guardian of the child before the child attains the age of 18 years and by the child within 30 years of the child attaining the age of 18 years, with exceptions under which the time may be longer; require conditions for actions and damages; prohibit public funds to be used for the provision of or referral for gender transition procedures to a child under the age of 18 years; prohibit health care services provided under state, local, or county government to include gender transition procedures to a child under the age of 18 years; prohibit tax exemption for gender transition procedures; permit the Attorney General to bring action to enforce provisions; permit members of the General Assembly to intervene as a matter of right if these provisions are challenged; create a new section of KRS Chapter 205 to prohibit Medicaid coverage of gender transition procedures for a child under the age of 18 years; create a new section of KRS Chapter 304.17A to prohibit health benefit plan coverage for gender transition procedures for a child under the age of 18 years and any requirement for coverage of gender transition procedures; EFFECTIVE January 1, 2023."
-1,"Public health, prohibits medical procedures on minor children intended to alter apprearance of gender with exceptions, provides for certain disclosures by school officials, establishes criminal penalties"
18,Minors; gender identity; reassignment; prohibitions
20,"Create new sections of KRS Chapter 311 to prohibit the provision of or referral for gender transition procedures to any child under the age of 18 years; define a violation as unprofessional conduct and acting recklessly for purposes of tort claims; permit an action on a violation to be taken by the parent or guardian of the child before the child attains the age of 18 years and by the child within 30 years of the child attaining the age of 18 years, with exceptions under which the time may be longer; require conditions for actions and damages; prohibit public funds to be used for the provision of or referral for gender transition procedures to a child under the age of 18 years; prohibit health care services provided under state, local, or county government to include gender transition procedures to a child under the age of 18 years; prohibit tax exemption for gender transition procedures; permit the Attorney General to bring action to enforce provisions; permit members of the General Assembly to intervene as a matter of right if these provisions are challenged; create a new section of KRS Chapter 205 to prohibit Medicaid coverage of gender transition procedures for a child under the age of 18 years; create a new section of KRS Chapter 304.17A to prohibit health benefit plan coverage for gender transition procedures for a child under the age of 18 years and any requirement for coverage of gender transition procedures; amend KRS 141.019 and 141.039 to prohibit tax exemption for gender transition procedures; EFFECTIVE January 1, 2023."
3,Prohibited services relating to care of minors.
25,"Prohibits specified health care professionals from: (1) performing certain medical procedures on a minor; or (2) subjecting a minor to certain activities; that purposely attempt to change, reinforce, or affirm a minor's perception of the minor's own sexual attraction or sexual behavior, or attempt to change, reinforce, or affirm a minor's gender identity when the identity is inconsistent with the minor's biological sex."
0,Education matters.
0,"Defines ""qualified school""."
0,"Provides that a school corporation or qualified school is prohibited from subjecting any student to, or making available, disseminating, or providing to any student, any obscene matter or performance or certain matters or performances harmful to minors."
0,"Provides that each school corporation or qualified school shall provide for all students in grades 6 through 12 as part of required recitation concerning the system of government in Indiana and in the United States, instruction that socialism, Marxism, communism, totalitarianism, or similar political systems are incompatible with and in conflict with the principles of freedom upon which the United States was founded."
0,"Provides that a school corporation or qualified school may not provide instruction that socialism, Marxism, totalitarianism, or similar political systems are compatible with the principles of freedom upon which the United States was founded."
0,Provides that a parent of a student or an emancipated student who attends a school corporation or qualified school may opt out of a face mask or face covering requirement.
0,Requires the department of education (department) to develop a notice form that may be used by a parent or an emancipated student to indicate that the parent or emancipated student opts out of the face mask or face covering requirement.
0,"Provides that the governor, a state agency, a local health board or local health officer, or a school corporation or qualified school may not require a student of a school corporation or qualified school to quarantine against COVID-19 or other communicable disease if the student is asymptomatic."
0,"Provides that the governor, a state agency, a local health board or local health officer, or a school corporation or qualified school may not require, as a condition for employment, enrollment, attendance, or participation in a school corporation or qualified school or in a school extracurricular activity, a student to be immunized against COVID-19 or other communicable disease."
0,"Provides that, after December 31, 2020, the list of communicable diseases that require documentation of immunity for a student may be expanded or modified only by an act of the general assembly."
0,Establishes certain consent requirements regarding students.
0,"Provides that, if the attorney general determines that a school corporation or qualified school: (1) discloses a student education record, or any information in a student education record; or (2) has a student who is less than 18 years of age and is not emancipated participate in any medical inspection, medical treatment, mental health assessment, mental health service, psychiatric or psychological examination or test, or psychiatric or psychological treatment without the informed written consent of the student's parent; the attorney general may assess a civil penalty against the school corporation, charter school, or laboratory school."
0,Provides that the parent of a student or protected right petitioner may bring a civil action for certain violations.
0,"Defines ""protected right violations""."
0,"Defines ""protected right petitioner""."
0,Establishes procedures for a protected right petitioner to file a complaint form alleging a protected right violation occurred within a school corporation or qualified school.
0,Provides that a protected right petitioner may appeal a school corporation's or qualified school's findings to the department.
0,Requires the department to appoint an administrative law judge to adjudicate appeals.
0,Requires the department to issue a final order.
0,Requires the attorney general or the attorney general's designee to review a school corporation's or qualified school's findings or the department's final order.
0,Provides that the attorney general may assess civil penalties if the attorney general determines a protected right violation occurred.
0,Provides that a school corporation or qualified school may not take retaliatory action against a protected right petitioner or an individual related to or associated with the protected right petitioner.
0,"Provides that, if a school corporation or qualified school uses a third party vendor in providing a personal analysis, evaluation, or survey that reveals or attempts to affect a student's attitudes, habits, traits, opinions, beliefs, or feelings, the third party vendor and the school corporation or public school may not collect or maintain the responses to or results of the analysis, evaluation, or survey in a manner that would identify the responses or results of an individual student."
0,"Provides that the consent requirements for certain student personal analysis, evaluations, or surveys apply even if the analysis, evaluation, or survey is directly related to academic instruction."
0,"Requires, not later than June 30, 2022, and not later than June 30 each year thereafter, each qualified school to post on the qualified school's Internet web site, in a manner that is accessible by the public, certain information regarding learning materials and educational activities."
0,Requires the department to develop and post on the department's Internet web site a model plan for presenting the learning material or educational activity information.
0,Makes changes to information that must be included on a school corporation's annual performance report.
0,Makes changes to information that must be included on a school's longitudinal dashboard.
19,Reconciles versions of IC 10-21-1-2 that were enacted by the 2019 general assembly.
11,"Repeals provisions requiring the department to develop the children's social, emotional, and behavioral health plan."
15,Makes conforming amendments.
17,Adding sexual reassignment to the definition of child abuse.
0,Prohibits an elementary or secondary school from receiving federal funds unless the school complies with specified requirements related to parental consent and student gender identity.
24,"Among other requirements, school employees may not withhold information from parents about a minor student's gender transition or gender identity."
0,The Department of Justice or a parent or guardian may bring a civil action against a school for violations.
8,"To enact sections 3129.01, 3129.02, 3129.03, 3129.04, 3129.05, 3129.06, 3129.07, and 3129.08 of the Revised Code to prohibit certain procedures to alter a minor child's sex and to designate this act as the Save Adolescents from Experimentation (SAFE) Act."
23,Youth Health Protection Act
21,"Modifies provisions relating to federal funding for, and health insurance coverage of, gender reassignment medical interventions, which include surgical remedies and hormone therapy arising from a conflict between an individual's gender identity and the sex the individual has or was identified as having at birth."
7,"Specifically, the bill prohibits the use of federal funds for gender reassignment medical interventions or for health coverage that includes such interventions."
7,"Additionally, such interventions may not be provided in a federal health care facility or by a federal employee."
-1,"Under current law, coverage of these interventions through Medicare and Medicaid is generally determined at the state level."
9,"The bill's restrictions regarding the use of federal funds do not apply to treatment of individuals with medically verifiable disorders of sex development, such as individuals born with atypical development of chromosomal, gonadal, or anatomical sex."
7,The bill also prohibits qualified health plans from including coverage for gender reassignment medical interventions.
7,"Further, plans that include coverage for such interventions are not eligible for federal subsidies."
17,Establishes a new criminal offense for performing gender reassignment medical interventions on minors.
-1,It also provides that a minor who receives such an intervention may bring a civil action against each person who performed that intervention.
21,The bill defines these interventions as certain surgeries or the use of hormones to change the body of an individual to correspond to a sex that is discordant with the individual's biological sex.
9,"It excludes, however, interventions in cases where an individual has ambiguous external biological sex characteristics or where a physician has determined that an individual does not have normal sex chromosome structure, sex steroid hormone production, or sex steroid hormone action."
3,"An individual who performs these interventions on a minor is subject to criminal penalties—a fine, a prison term of up to five years, or both."
3,A minor who receives these medical interventions may not be arrested or prosecuted for an offense under this bill.
11,"Amend The Code Of Laws Of South Carolina, 1976, To Enact The ""south Carolina Vulnerable Child Compassion And Protection Act"" By Adding Chapter 139 To Title 44 So As To Prohibit The Performance Of A Medical Procedure Or The Prescription Or Issuance Of Medication, Upon Or To A Minor, That Is Intended To Alter The Appearance Of The Minor's Gender Or Delay Puberty, With Exceptions; To Create Criminal Penalties; And For Other Purposes."
14,"A BILL to be entitled an Act to amend Title 31 of the Official Code of Georgia Annotated, relating to health, so as to prohibit certain licensed, certified, or registered professionals from engaging in certain acts upon minors; to provide for a short title; to provide for definitions; to provide for exceptions; to provide for a penalty and private cause of action; to explicitly waive sovereign immunity, qualified immunity, and official immunity for such a private cause of action; to provide for related matters; to provide for an effective date and applicability; to repeal conflicting laws; and for other purposes."
-1,Adopt the Let Them Grow Act
0,"Provides that a school, an employee or staff member of a school, or a third party vendor used by a school to provide instruction may not provide any instruction to a student in prekindergarten through grade 3 on human sexuality."
0,Provides that a school employee or a school staff member is not prohibited from responding to a question from a student regarding certain topics.
24,"Requires a school to notify in writing at least one parent of a student, if the student is an unemancipated minor, of a request made by the student to change the student's name or pronoun, title, or word to identify the student."
-1,VULNERABLE CHILD PROTECTION ACT -- Adds to existing law to establish provisions regarding vulnerable child protection.
18,Gender transition procedures for minors.
4,Prohibits a physician or other practitioner from: (1) knowingly providing gender transition procedures to an individual who is less than 18 years of age (minor); and (2) aiding or abetting another physician or practitioner in the provision of gender transition procedures to a minor.
12,Specifies certain medical exceptions.
15,Establishes civil enforcement actions.
8,"AN ACT to create and enact chapter 12.1-36.1 of the North Dakota Century Code, relating to the prohibition of certain practices against a minor; to provide a penalty; and to declare an emergency."
3,Medical Treatment for Minors Act
2,"Relating to prohibitions on the provision to certain children of procedures and treatments for gender transitioning, gender reassignment, or gender dysphoria and on the use of public money or public assistance to provide those procedures and treatments."
5,"Granting courts of this state temporary emergency jurisdiction over a child present in this state if the child has been subjected to or is threatened with being subjected to sex-reassignment prescriptions or procedures; providing that, for purposes of warrants to take physical custody of a child in certain child custody enforcement proceedings, serious physical harm to the child includes, but is not limited to, being subjected to sex-reassignment prescriptions or procedures; prohibiting certain public entities from expending state funds for the provision of sex-reassignment prescriptions or procedures; requiring certain licensed facilities, by a specified date and as a condition of licensure thereafter, to provide a signed attestation of specified information to the Agency for Health Care Administration; prohibiting sex-reassignment prescriptions and procedures for patients younger than 18 years of age, etc."
23,Provide for a youth health protection act
14,"A BILL to be entitled an Act to amend Article 1 of Chapter 7 of Title 31 of the Official Code of Georgia Annotated, relating to regulation of hospitals and related institutions, so as to prohibit certain surgical procedures for the treatment of gender dysphoria in minors from being performed in hospitals and other licensed healthcare facilities; to provide for exceptions; to provide for violations; to amend Article 1 of Chapter 34 of Title 43 of the Official Code of Georgia Annotated, relating to the Georgia Composite Medical Board, so as to prohibit certain surgical procedures for the treatment of gender dysphoria in minors; to provide for exceptions; to provide for violations; to provide for legislative findings; to provide for related matters; to repeal conflicting laws; and for other purposes."
8,"Establishes the """"Missouri Save Adolescents from Experimentation (SAFE) Act"""" and modifies provisions relating to public funding of certain gender transition procedures"
-1,"As enacted, prohibits a healthcare provider from performing on a minor or administering to a minor a medical procedure if the performance or administration of the procedure is for the purpose of enabling a minor to identify with, or live as, a purported identity inconsistent with the minor’s sex."
19,- Amends TCA Title 28; Title 29; Title 33; Title 34; Title 36; Title 37; Title 39; Title 40; Title 49; Title 56; Title 63; Title 68 and Title 71.
22,Concerning Medical Malpractice And Gender Transition In Minors; And To Create The Protecting Minors From Medical Malpractice Act Of 2023.
11,"Amend The South Carolina Code Of Laws By Adding Section 40-47-300 So As To Define Gender, Sex, And Other Terms; By Adding Section 40-47-310 So As To Prohibit The Provision Of Gender Transition Procedures To A Person Under Eighteen Years Of Age; By Adding Section 40-47-320 So As To Provide Exceptions; By Adding Section 40-47-330 So As To Prohibit The Use Of Public Funds For Gender Transition Procedures; By Adding Section 40-47-340 So As To Provide Penalties; And By Adding Section 59-32-36 So As To Prohibit School Staff And Officials From Withholding Knowledge Of A Minor's Perception Of Their Gender From The Minor's Parents."
26,The purpose of this bill is to prohibit certain medical practices.
2,Relating to health benefit plan coverage for and prohibitions on gender transitioning procedures and treatments provided to certain individuals; creating a criminal offense.
5,Relating to prohibiting the conservatorship of a child by a parent who removes the child from this state for certain purposes relating to gender reassignment.
25,Unlawful exposure; minors; sentencing; reporting
5,"Authorizes court of state to enter, modify, or stay child custody determination under specified circumstances; prohibits persons & entities from expending funds for reimbursement for specified clinical interventions; prohibits person's biological sex from being changed on birth certificate; prohibits gender clinical interventions for minors; authorizes certain persons to refuse to participate in gender clinical interventions; prohibits health insurance policy & health maintenance contract from providing coverage for gender clinical interventions; provides physician liability & authorizes award of specified damages, fees, & costs."
20,"Create new sections of KRS Chapter 311 to define terms; state that the provision of gender transition services to a person under the age of 18 years by a health care provider or mental health care provider is unethical and unprofessional conduct; require an investigation of any report of provision of gender transition services to a person under the age of 18 years; require revocation of the provider's license if confirmed and termination of public funding for a public employee; require that providers be jointly and severally liable for all damages and costs sustained for providing gender transition services or aiding and assisting a person under the age of 18 years to consider or to obtain gender transition services; provide defense to providers refusing to provide services; make failure to report provision of gender transition services a crime; permit an action on a violation to be taken by the parent or guardian of a person before the person attains the age of 18 years and by the person within 30 years of the person attaining the age of 18 years, with exceptions under which the time may be longer; require conditions for actions and damages; prohibit use of public funds for gender transition services; prohibit a provider employed by a public agency to provide include gender transition procedures; permit the Attorney General to bring action to enforce provisions; permit intervention as a matter of right if these provisions are challenged; prohibit a public provider from intervening in a legal proceeding in defense of the provision of gender transition services; create a new section of KRS Chapter 205 to prohibit Medicaid coverage of gender transition procedures for a person under age 18 years; create a new section of Subtitle12 of KRS Chapter 304 to establish liability provisions if an insurer elects to cover gender transition services; amend KRS 18A.225 to prohibit a fully insured benefit plan or self-insured plan for public employees from covering gender transition services for a person under the age of 18 years; amend KRS 454.210 to add to court permission to exercise personal jurisdiction over a person who acts directly or by an agent, as to a claim arising from the person's engaging in the provision of gender transition services to a person under the age of 18 years; create a new section of KRS Chapter 158 to prohibit a public school counselor, school-based mental health services provider, or other public employee from aiding or assisting in the provision of gender transition services for a person under the age of 18 years; establish liability provisions; require school notification of parents of child's expression of sex or gender inconsistency with exceptions; amend KRS 141.039 to require that corporate income relating to the provision of gender transition services to a person under age 18 years be added to net income; amend KRS 213.121 to prohibit a registered certificate or report from being amended if the purpose is to assist with a social or physical gender transition; amend KRS 401.020 to prohibit a court to order a name change if the purpose is to assist with a social or physical gender transition; create a new section of KRS Chapter 600 to prohibit the Department of Juvenile Justice from classifying a detainee by a sex that is inconsistent with defined sex; allow the Act to be cited as the Do No Harm Act; EFFECTIVE January 1, 2024."
18,Prohibiting Sex Transitioning Procedures on Minors
22,A bill to protect children from medical malpractice in the form of gender transition procedures.
14,"A BILL to be entitled an Act to amend Chapter 1 of Title 43 of the O.C.G.A., relating to general provisions relative to professions and businesses, so as to prohibit health care providers from performing specified practices on minors relating to altering a person's appearance relating to gender; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes."
9,Public health and safety; health care professionals; prohibiting certain gender transition procedures; exceptions; administrative remedies; emergency.
22,To protect children from medical malpractice in the form of gender transition procedures.
0,Authorizes a tax on the endowments of qualifying institutions of higher education and a corresponding endowment tax revenue trigger to income tax rates
6,"An Act To Create The ""regulate Experimental Adolescent Procedures (reap)"" Act For Any Person Under Eighteen Years Of Age; To Provide Definitions For The Act; To Prohibit The Direct Or Indirect Use, Grant, Payment Or Distribution Of Public Funds To Any Entity, Organization Or Individual That Provides Gender Transition Procedures To A Person Under Eighteen Years Of Age; To Provide That Health Care Services Furnished In A State Or Locally-owned Health Care Facility Or By A Physician Or Other Health Care Professional Employed By The State Or Local Government Shall Not Include Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Provide That Amounts Paid During A Taxable Year For Provision Of Gender Transition Procedures Or As Premiums For Health Care Coverage That Includes Coverage For Gender Transition Procedures Are Not Deductible Under The State Income Tax Laws; To Authorize The Attorney General To Bring An Action To Enforce Compliance With This Act; To Create New Section 43-13-117.7, Mississippi Code Of 1972, To Prohibit The Division Of Medicaid From Reimbursing Or Providing Coverage For Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Amend Section 83-9-22, Mississippi Code Of 1972, To Provide That Health Coverage Plans Are Not Required To Include Gender Transition Procedures; To Create New Section 83-9-37, Mississippi Code Of 1972, To Provide That A Health Benefit Plan Under An Insurance Policy Or Other Plan Providing Health Care Coverage Shall Not Include Reimbursement For Gender Transition Procedures For A Person Under Eighteen Years Of Age; To Amend Sections 27-7-17, 73-15-29 And 73-25-29, Mississippi Code Of 1972, To Conform To The Provisions Of This Act; To Amend Section 73-25-33, Mississippi Code Of 1972, To Exclude The Performance Gender Transition Procedures From The ""practice Of Medicine"" Meaning; To Amend Section 11-46-5, Mississippi Code Of 1972, To Exclude From Tort Immunity Violations Of This Act; To Amend Section 41-41-219, Mississippi Code Of 1972, To Conform To The Preceding Section; To Provide Severability If Any Part Of This Act Is Found Unconstitutional; And For Related Purposes."
8,"To enact sections 3109.054, 3129.01, 3129.02, 3129.03, 3129.04, 3129.05, 3129.06, and 3129.07 of the Revised Code regarding gender transition services for minors and to name this act the Ohio Saving Adolescents from Experimentation (SAFE) Act."
21,AN ACT relating to public health and safety; prohibiting physicians from performing procedures for children related to gender transitioning and gender reassignment; providing an exception; providing that gender transitioning and reassignment procedures are grounds for suspension or revocation of a physician's or health care provider's license; prohibiting insurance coverage for children for gender transitioning and reassignment procedures; providing definitions; specifying applicability; requiring rulemaking; and providing for effective dates.
2,Relating to the statute of limitations on a health care liability claim involving certain gender modification drugs provided to and procedures performed on a minor.
5,Parental rights.
5,"Provides that the state of Indiana, a political subdivision or other governmental entity of the state of Indiana, a government official, or any other person acting under the color of law shall not infringe on the fundamental right of a parent to direct the upbringing, education, health care, and mental health of the parent's child without demonstrating that the infringement: (1) is required by a compelling governmental interest of the highest order as long recognized in the history and traditions of the state of Indiana; and (2) as applied to the child, is narrowly tailored and not otherwise served by a less restrictive means."
5,"Creates a right of action for violation of a parent's rights with respect to the upbringing, education, and health care of the parent's child."
24,"Provides that a child is not a child in need of services due to the child's parent, guardian, or custodian: (1) referring to and raising the child consistent with the child's biological sex; or (2) declining to consent to the child receiving: (A) specified medication; (B) a medical procedure the purpose of which is to alter the apparent gender or sex of the child or affirm the child's perception of the child's gender or sex in a manner inconsistent with the child's biological sex; or (C) counseling or other mental health services the purpose of which is to affirm the child's perception of the child's gender or sex if the child's perception is inconsistent with the child's biological sex."
5,"Provides that if the juvenile court finds that a child is a child in need of services because the child substantially endangers the child's own or another's health, the court shall release the child to the child's parent, guardian, or custodian and may not enter a dispositional decree ordering removal of the child, unless: (1) the court also finds that the child is a child in need of services for another reason; or (2) the parent, guardian, or custodian consents to the child being removed from the child's home."
5,Specifies that the parental rights and responsibilities do not: (1) authorize a parent to: (A) abuse or neglect a child; or (B) make the decision to end the child's life; or (2) prohibit a court from issuing an order that is otherwise permitted by law.
15,Makes conforming changes.
